Title,Company,Location,Salary,Job Type,Description,Date Posted,Latitude,Longitude
tire repairer - automotive service,Ball Holdings Inc,"St. John's, NL",20.0,"Full-time
+1",Driver's validity licence check. Experience: 2 years to less than 3 years. Up to 45 kg (100 lbs). Hours: 40 hours per week.  ,9.0,47.5614705,-52.7126162
line cook,Magic Foods Ltd - A&W,"St. John's, NL",15.0,"Full-time
+1",Hours: 30 to 40 hours per week.  ,30.0,47.5614705,-52.7126162
Dishwasher/Food Prep,Quality Hotel & Suites,"Gander, NL",,Part-time,Prepare food items according to customer orders. The successful candidate will be responsible for preparing food items according to established recipes and…   ,3.0,48.9592291,-54.6187879
Overnight Grocery Clerk,Dominion,"St. John's, NL",,Part-time,They help provide a positive in-store shopping experience by ensuring the store is always ready with available products that meet customer needs to live life…   ,20.0,47.5614705,-52.7126162
Assistant Manager,Kent Building Supplies,"St. John's, NL",,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4.0,47.5614705,-52.7126162
Retail Sales Associate,Meghan Ashley Designs Inc.,"Grand Falls-Windsor, NL",15.0,Part-time,"Experience with social media is an asset. Participate in social media responsibilities such as taking photos in clothing, making reels, tic toks, etc.  ",5.0,48.944151,-55.652618
Information Technology (IT) Manager,Avalon Holographics,"St. John's, NL",,Full-time,"As such, as an IT Manager, you will be regularly introduced to new scenarios and face frequent challenges that require a level of expertise that will enable you…  ",29.0,47.5614705,-52.7126162
restaurant manager,EgyCana Fast Food Enterprise Inc.,"St. John's, NL",18.0,Full-time,"Balance cash and complete balance sheets, cash reports and related forms. Participate in marketing plans and implementation. Recruit, train and supervise staff.  ",5.0,47.5614705,-52.7126162
Quality Assurance Manager,Quin-Sea Fisheries Ltd,"Conche, NL",,Full-time,"Participate in various audits with regulatory authorities, certification bodies, customers, etc. Conduct training necessary to implement and maintain the food…   ",10.0,50.88388815,-55.88925388687986
"Retail Credit Card Sales Representative - Mount Pearl, NFL",kite,"Mount Pearl, NL",40.0,,"Working independently at retail locations, maximizing credit card sales while enhancing customers' in-store experience. Must be at least 19 years of age.   ",1.0,47.5239607,-52.811664
Project Coordinator,North Star Associates Inc.,"Wabush, NL",,,"A negative pre-employment drug & alcohol test, along with an acceptable driving record are important parts of our safety program and are requirements for…   ",30.0,52.8999927,-66.8701732
Temporary Assistant Transportation Coordinator,Oceanex,"St. John's, NL",,,"He / she will also be responsible for completing various reports and monitoring the detention and demurrage reports, contact customers for return of equipment…   ",30.0,47.5614705,-52.7126162
Financial Analyst,NL Health Services,"Labrador City, NL",75.0,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",4.0,52.9422944,-66.9177291
Server and Cashier,Rod's Restaurant,"Clarenville, NL",,Full-time,"Taking orders tending in tables prep work. Clarenville, NL: reliably commute or plan to relocate before starting work (required).  ",30.0,48.1679902,-53.9646413
cashier,DASH FOODS INCORPORATED,"St. Anthony, NL",15.0,"Full-time
+1","Process money, cheques and credit/debit card payments. Education: Secondary (high) school graduation certificate. Accept reservations or take-out orders.   ",3.0,51.3653968,-55.5919335
Domestic Worker (Utility),NL Health Services,"Clarenville, NL",19.0,,A valid class 04 driver's license is required to willing to obtain within six (6) months.. NL Health Services is responsible for delivering health and community…  ,24.0,48.1679902,-53.9646413
Graphic Artist,trophi.ai,"St. John's, NL",,Full-time,Deliver optimized UI assets and layouts to the development team and ensure they are integrated at a high quality. Collaborate. We’re big on collaboration.  ,30.0,47.5614705,-52.7126162
